timestamp	x	y	height	area_3d	leaf_area_index	leaf_inclination	digital_biomass	leaf_angle	proj_area	light_pen_depth	ndvi_aver	ndvi_bin0	ndvi_bin1	ndvi_bin2	ndvi_bin3	ndvi_bin4	ndvi_bin5	greenness_aver	greenness_bin0	greenness_bin1	greenness_bin2	greenness_bin3	greenness_bin4	greenness_bin5	hue_aver	hue_bin0	hue_bin1	hue_bin2	hue_bin3	hue_bin4	hue_bin5	npci_aver	npci_bin0	npci_bin1	npci_bin2	npci_bin3	npci_bin4	npci_bin5	psri_aver	psri_bin0	psri_bin1	psri_bin2	psri_bin3	psri_bin4	psri_bin5
20181126T133510	0	0	171.697	77173.461	0.40618	1.485	13250423.000	42.314	43152.320	120.576	0.59477	0.00579	0.00357	0.00368	0.00501	0.00735	0.97460	0.19920	0.00105	0.00261	0.00402	0.00943	0.04173	0.94115	124.82190	0.00261	0.00941	0.01913	0.10849	0.50712	0.35324	0.05119	0.00072	0.01210	0.46224	0.43234	0.07574	0.01686	0.01422	0.00000	0.00000	0.47989	0.52005	0.00006	0.00000
20181126T133510	0	1	186.051	62163.574	0.32718	1.512	11565594.000	41.407	36179.578	95.925	0.55758	0.00709	0.00506	0.00702	0.00936	0.01222	0.95925	0.17710	0.00081	0.00195	0.00283	0.00717	0.04053	0.94670	122.41965	0.00098	0.00684	0.02110	0.12828	0.51431	0.32849	0.05806	0.00015	0.00448	0.43514	0.47671	0.06349	0.02002	0.02413	0.00000	0.00000	0.44323	0.55666	0.00010	0.00000
20181126T133510	0	2	180.057	80432.016	0.42333	1.553	14482315.000	40.092	43007.105	125.181	0.54428	0.00805	0.00956	0.01833	0.01597	0.01335	0.93473	0.18740	0.00045	0.00141	0.00239	0.00550	0.03407	0.95617	124.62667	0.00187	0.00489	0.04241	0.11515	0.46618	0.36950	0.06169	0.00014	0.00410	0.50430	0.36836	0.09880	0.02429	0.02835	0.00000	0.00000	0.51171	0.48815	0.00012	0.00002
20181126T133510	1	0	319.613	69878.914	0.36778	1.529	22334220.000	40.830	41032.879	264.489	0.51646	0.05144	0.01299	0.01472	0.01980	0.02264	0.87840	0.21986	0.00089	0.00259	0.00506	0.01269	0.04128	0.93750	116.25071	0.00261	0.00970	0.03312	0.10836	0.62361	0.22261	0.09531	0.00043	0.00630	0.36869	0.50964	0.09354	0.02141	0.04365	0.00000	0.00000	0.38159	0.61824	0.00017	0.00000
20181126T133510	1	1	191.824	80149.555	0.42184	1.501	15374568.000	41.791	45988.398	123.686	0.50895	0.01043	0.00679	0.00858	0.01544	0.02044	0.93833	0.18399	0.00089	0.00248	0.00403	0.00895	0.02079	0.96286	126.44103	0.00286	0.00849	0.02614	0.09444	0.46971	0.39836	0.03916	0.00019	0.00323	0.55624	0.34409	0.08162	0.01463	0.01403	0.00000	0.00000	0.56397	0.43597	0.00007	0.00000
20181126T133510	1	2	212.065	81055.047	0.42661	1.430	17188968.000	44.387	50123.188	141.118	0.53467	0.00895	0.00830	0.01578	0.02058	0.02214	0.92425	0.20387	0.00039	0.00121	0.00219	0.00534	0.01430	0.97657	120.91744	0.00090	0.00587	0.03193	0.09368	0.57785	0.28976	0.03349	0.00040	0.00509	0.51358	0.42806	0.04262	0.01024	0.02134	0.00000	0.00000	0.52342	0.47640	0.00012	0.00006
